empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude;data_extracao
petz;petz abelardo bueno;av. embaixador abelardo bueno, 3140;barra da tijuca;rio de janeiro;RJ;22775-040;;;08/10/2025
petz;petz aclimacao;rua muniz de sousa, 450;aclimacao;sao paulo;SP;01534-000;;;08/10/2025
petz;petz afonso pena;av. afonso pena, 1022;amambai;campo grande;MS;79005-671;;;08/10/2025
petz;petz agamenon;av. gov. agamenon magalhaes, 3855;santo amaro;recife;PE;50050-290;;;08/10/2025
petz;petz aguas claras;av. sibipiruna, 4;aguas claras;brasilia;DF;71928-720;;;08/10/2025
petz;petz alameda santos;alameda santos, 637;cerqueira cesar;sao paulo;SP;01419-001;;;08/10/2025
petz;petz aldeota;av. barao de studart, 999;aldeota;fortaleza;CE;60120-001;;;08/10/2025
petz;petz alphaville;av. alphaville, 580;alphaville;barueri;SP;06472-010;;;08/10/2025
petz;petz alto da boa vista;av. adolfo pinheiro, 1600;santo amaro;sao paulo;SP;04734-004;;;08/10/2025
petz;petz americana;av. paulista, 985;vila nossa sra. de fatima;americana;SP;13478-580;;;08/10/2025
petz;petz ana costa;avenida ana costa, 215;gonzaga;santos;SP;11060-001;;;08/10/2025
petz;petz analia franco;av. regente feijo, 677;vila regente feijo;sao paulo;SP;03342-000;;;08/10/2025
petz;petz angelica;av. angelica, 2011;higienopolis;sao paulo;SP;01227-200;;;08/10/2025
petz;petz anhaia mello;av. prof. luiz ignacio anhaia mello, 5657                                              - junto ao roldao;vila graciosa;sao paulo;SP;03295-000;;;08/10/2025
petz;petz aracaju;av. ministro geraldo barreto sobral, 140;jardins;aracaju;SE;49026-900;;;08/10/2025
petz;petz aracatuba;av. brasilia, 2737;vila sao paulo;aracatuba;SP;16018-000;;;08/10/2025
petz;petz araraquara;av.padre francisco salles culturato, 1272;centro;araraquara;SP;14802-000;;;08/10/2025
petz;petz aruja;estrada de santa isabel, 1278                                              - parque nossa sra. do carmo;brasil;aruja;SP;07432-575;;;08/10/2025
petz;petz assai anchieta;rua garcia lorca, 301;pauliceia;sao bernardo do campo;SP;09695-000;;;08/10/2025
petz;petz assai colinas;av. jorge zarur, 100;jardim apolo;sao jose dos campos;SP;12243-081;;;08/10/2025
petz;petz assai maracana;rua jose higino, 115                                              - dentro do assai maracana;maracana;rio de janeiro;RJ;20520-201;;;08/10/2025
petz;petz assai penha;av. sao miguel, 962;penha de franca;sao paulo;SP;03620-000;;;08/10/2025
petz;petz assis chateaubriand;av. assis chateaubriand, 17;st. oeste;goiania;GO;74130-015;;;08/10/2025
petz;petz augusta;rua augusta , 215;bela vista;sao paulo;SP;01305-000;;;08/10/2025
petz;petz avenida das americas recreio;avenida das americas, 12700;barra da tijuca;rio de janeiro;RJ;22793-329;;;08/10/2025
petz;petz avenida do contorno;av. do contorno, 2171;santa efigenia;belo horizonte;MG;30110-017;;;08/10/2025
petz;petz avenida dos estados;av. dos estados, 6973;parque jacatuba;santo andre;SP;09270-270;;;08/10/2025
petz;petz avenida goias;avenida goias, 889;santo antonio;sao caetano do sul;SP;09521-310;;;08/10/2025
petz;petz avenida interlagos;av. interlagos, 2000;jardim marajoara;sao paulo;SP;04660-002;;;08/10/2025
petz;petz avenida milao;av. milao, 531;jardim europa;goiania;GO;74325-030;;;08/10/2025
petz;petz balneario camboriu;av. do estado dalmo vieira, 4888;estados;balneario camboriu;SC;88339-060;;;08/10/2025
petz;petz bandeirantes;av. dos bandeirantes, 2040;vila olimpia;sao paulo;SP;04553-902;;;08/10/2025
petz;petz bangu shopping;rua fonseca, 240                                              - area ext, proximo a portaria 2;bangu;rio de janeiro;RJ;21820-005;;;08/10/2025
petz;petz barra americas;avenida das americas, 6571                                              - lote 02 pal 45164;barra da tijuca;rio de janeiro;RJ;22793-080;;;08/10/2025
