empresa;nome;logradouro;bairro;cidade;estado;regiao;cep;populacao;latitude;longitude;renda_domiciliar_per_capita;cod_cidade;data_extracao
petz;petz abelardo bueno;Avenida Embaixador Abelardo Bueno;Barra da Tijuca;Rio de Janeiro;RJ;Sudeste;22775-040;6.729.894;-22.9727518094;-43.3884886319;2490;4557;08/10/2025
petz;petz aclimacao;Rua Muniz de Sousa;Aclimação;São Paulo;SP;Sudeste;01534-000;11.895.578;-23.5696900041;-46.636;2662;50308;08/10/2025
petz;petz afonso pena;Avenida Bandeirantes;Amambaí;Campo Grande;MS;Centro-Oeste;79005-671;954.537;-20.4697105;-54.6201211;2169;2704;08/10/2025
petz;petz agamenon;Avenida Governador Agamenon Magalhães;Boa Vista;Recife;PE;Nordeste;50050-290;1.587.707;-8.0559795;-34.8953473;1453;11606;08/10/2025
petz;petz aguas claras;Avenida Sibipiruna;Sul (Águas Claras);Brasília;DF;Centro-Oeste;71928-720;2.982.818;-15.885750017;-48.0398915003;3444;108;08/10/2025
petz;petz alameda santos;Alameda Santos;Cerqueira César;São Paulo;SP;Sudeste;01419-001;11.895.578;-23.5326099937;-46.636;2662;50308;08/10/2025
petz;petz aldeota;Avenida Barão de Studart;Aldeota;Fortaleza;CE;Nordeste;60120-001;2.574.412;-3.7357094;-38.5069693;1225;4400;08/10/2025
petz;petz alphaville;Avenida Alphaville;Dezoito do Forte Empresarial/Alphaville.;Barueri;SP;Sudeste;06472-010;330.339;-23.5243200024;-46.8905258909;2662;5708;08/10/2025
petz;petz alto da boa vista;Avenida Adolfo Pinheiro;Santo Amaro;São Paulo;SP;Sudeste;04734-004;11.895.578;-23.8617400321;-46.2937601861;2662;50308;08/10/2025
petz;petz americana;Avenida Paulista;Vila Nossa Senhora de Fátima;Americana;SP;Sudeste;13478-580;246.655;-22.7376643;-47.3178178;2662;1608;08/10/2025
petz;petz ana costa;Avenida Ana Costa;Gonzaga;Santos;SP;Sudeste;11060-001;429.567;-23.954249995;-46.334;2662;48500;08/10/2025
petz;petz analia franco;Avenida Regente Feijó;Vila Regente Feijó;São Paulo;SP;Sudeste;03342-000;11.895.578;-23.7020800204;-46.8040764713;2662;50308;08/10/2025
petz;petz angelica;Avenida Angélica;Consolação;São Paulo;SP;Sudeste;01227-200;11.895.578;-23.5556500053;-46.636;2662;50308;08/10/2025
petz;petz anhaia mello;Avenida Professor Luiz Ignácio Anhaia Mello;Vila Graciosa;São Paulo;SP;Sudeste;03295-000;11.895.578;-23.6981200203;-46.4722432506;2662;50308;08/10/2025
petz;petz aracaju;Avenida Ministro Geraldo Barreto Sobral 215;Jardins;Aracaju;SE;Nordeste;49026-900;628.849;-10.9438929;-37.0593452;1473;308;08/10/2025
petz;petz aracatuba;Avenida Brasília;Jardim Nova Yorque;Araçatuba;SP;Sudeste;16018-000;207.775;-21.2028539;-50.4536793;2662;2804;08/10/2025
petz;petz araraquara;Avenida Padre Francisco Sales Colturato;Centro;Araraquara;SP;Sudeste;14802-000;252.318;-21.7848272;-48.1786486;2662;3208;08/10/2025
petz;petz aruja;Rua Tomi Saburo Yamamoto;Jardim das Cerejeiras;Arujá;SP;Sudeste;07432-575;89.943;-23.3950099976;-46.3220786898;2662;3901;08/10/2025
petz;petz assai anchieta;Rua Garcia Lorca;Paulicéia;São Bernardo do Campo;SP;Sudeste;09695-000;840.499;-23.6995800017;-46.5710936695;2662;48708;08/10/2025
petz;petz assai colinas;Avenida Jorge Zarur;Vila Ema;São José dos Campos;SP;Sudeste;12243-081;724.756;-23.2102831;-45.8969547;2662;49904;08/10/2025
petz;petz assai maracana;Rua José Higino;Tijuca;Rio de Janeiro;RJ;Sudeste;20520-201;6.729.894;-22.9325728;-43.2410248;2490;4557;08/10/2025
petz;petz assai penha;Avenida São Miguel;Vila Marieta;São Paulo;SP;Sudeste;03620-000;11.895.578;-23.3633199789;-46.8374561407;2662;50308;08/10/2025
petz;petz assis chateaubriand;Avenida Assis Chateaubriand;Setor Oeste;Goiânia;GO;Centro-Oeste;74130-015;1.494.599;-16.6848554;-49.2714702;2098;8707;08/10/2025
petz;petz augusta;Rua Augusta;Consolação;São Paulo;SP;Sudeste;01305-000;11.895.578;-23.5367499961;-46.636;2662;50308;08/10/2025
petz;petz avenida das americas recreio;Rua César Lattes;Barra da Tijuca;Rio de Janeiro;RJ;Sudeste;22793-329;6.729.894;-23.0023912;-43.4245654;2490;4557;08/10/2025
petz;petz avenida do contorno;Avenida do Contorno;Santa Efigênia;Belo Horizonte;MG;Sudeste;30110-017;2.416.339;-19.9139617;-43.9323353;2001;6200;08/10/2025
petz;petz avenida dos estados;Avenida dos Estados;Tamanduateí 8;Santo André;SP;Sudeste;09270-270;778.711;-23.694960006;-46.5041977288;2662;47809;08/10/2025
petz;petz avenida goias;Avenida Goiás;Santo Antônio;São Caetano do Sul;SP;Sudeste;09521-310;172.109;-23.623;-46.5496247537;2662;48807;08/10/2025
petz;petz avenida interlagos;Avenida Interlagos;Jardim Marajoara;São Paulo;SP;Sudeste;04660-002;11.895.578;-23.8534600338;-46.3027923299;2662;50308;08/10/2025
petz;petz avenida milao;Avenida Milão;Jardim Europa;Goiânia;GO;Centro-Oeste;74325-030;1.494.599;-16.7092282;-49.313446;2098;8707;08/10/2025
petz;petz balneario camboriu;Avenida do Estado Dalmo Vieira;Estados;Balneário Camboriú;SC;Sul;88339-060;148.758;-26.9737199957;-48.635;2601;2008;08/10/2025
petz;petz bandeirantes;Avenida dos Bandeirantes 2040;Vila Olímpia;São Paulo;SP;Sudeste;04553-902;11.895.578;-23.6192800094;-46.7137550031;2662;50308;08/10/2025
petz;petz bangu shopping;Rua Fonseca;Bangu;Rio de Janeiro;RJ;Sudeste;21820-005;6.729.894;-22.8819709;-43.465515;2490;4557;08/10/2025
petz;petz barra americas;Avenida das Américas;Barra da Tijuca;Rio de Janeiro;RJ;Sudeste;22793-080;6.729.894;-23.0141759;-43.4664789;2490;4557;08/10/2025
petz;petz barreiro;Avenida Sinfrônio Brochado;Barreiro;Belo Horizonte;MG;Sudeste;30640-000;2.416.339;-19.9768558;-44.0195832;2001;6200;08/10/2025
petz;petz bauru;Rua Rubens Pagani;Jardim Estoril IV;Bauru;SP;Sudeste;17016-210;391.740;-22.314459;-49.0586951;2662;6003;08/10/2025
petz;petz belem;Avenida Nazaré;Nazaré;Belém;PA;Norte;66035-445;1.398.531;-1.454061;-48.4812248;1344;1402;08/10/2025
petz;petz belford roxo;Avenida Prefeito Jorge Júlio Costa dos Santos;Centro;Belford Roxo;RJ;Sudeste;26130-010;518.263;-22.7645391;-43.3996264;2490;456;08/10/2025
petz;petz bento goncalves;r. fortaleza, 362;botafogo;bento goncalves;RS;Sul;95700-000;127.775;;;2608;2105;08/10/2025
petz;petz bestcenter jacarei;Rua Barão de Jacareí;Centro;Jacareí;SP;Sudeste;12308-000;249.968;-23.2987827;-45.9662542;2662;24402;08/10/2025
petz;petz betim;Avenida Juiz Marco Túlio Isaac;Jardim das Alterosas 1ª Seção;Betim;MG;Sudeste;32671-072;429.236;-19.9673078;-44.2011904;2001;6705;08/10/2025
petz;petz blumenau;Rua São Paulo;Itoupava Seca;Blumenau;SC;Sul;89030-001;380.597;-26.919;-49.0579250549;2601;2404;08/10/2025
petz;petz boa viagem;Avenida Boa Viagem;Boa Viagem;Recife;PE;Nordeste;51020-000;1.587.707;-8.1099616;-34.8891379;1453;11606;08/10/2025
petz;petz bosque maia;Avenida Paulo Faccini;Macedo;Guarulhos;SP;Sudeste;07111-000;1.345.364;-23.4836100077;-46.533;2662;18800;08/10/2025
petz;petz botafogo;Rua General Polidoro;Botafogo;Rio de Janeiro;RJ;Sudeste;22280-004;6.729.894;-22.9511149;-43.1809269;2490;4557;08/10/2025
petz;petz botucatu;Avenida Doutor Vital Brasil;Vila São Lúcio;Botucatu;SP;Sudeste;18603-193;150.442;-22.8841808;-48.4441654;2662;7506;08/10/2025
petz;petz brasilia asa norte;Setor STN;Asa Norte;Brasília;DF;Centro-Oeste;70770-100;2.982.818;-15.7333775;-47.8970566;3444;108;08/10/2025
petz;petz brasilia epia;Setor de Postos e Motéis Sul I;Setor de Postos e Motéis Sul (Núcleo Bandeirante);Brasília;DF;Centro-Oeste;71738-010;2.982.818;-15.8711088;-47.9709785;3444;108;08/10/2025
petz;petz brasilia jardim botanico;Quadra 1 Lote E;Setor Habitacional Jardim Botânico;Brasília;DF;Centro-Oeste;71681-025;2.982.818;-15.9064363;-47.8624914;3444;108;08/10/2025
petz;petz brasilia sia;Trecho SIA Trecho 17 Rua 03;Zona Industrial (Guará);Brasília;DF;Centro-Oeste;71200-207;2.982.818;-15.7786295;-47.9408608;3444;108;08/10/2025
petz;petz brasilia w3 norte;Quadra EQS 414/415;Asa Sul;Brasília;DF;Centro-Oeste;70297-400;2.982.818;-15.7906787664;-47.8930069733;3444;108;08/10/2025
petz;petz brusque;Rua Gustavo Schlosser;Centro II;Brusque;SC;Sul;88353-020;151.949;-27.0929599984;-48.9123385317;2601;2909;08/10/2025
petz;petz bueno t63;Avenida T 63;Setor Bueno;Goiânia;GO;Centro-Oeste;74230-105;1.494.599;-16.7004399;-49.276539;2098;8707;08/10/2025
petz;petz butanta;Avenida Professor Francisco Morato;Butantã;São Paulo;SP;Sudeste;05512-200;11.895.578;-23.9588500473;-46.1878288093;2662;50308;08/10/2025
petz;petz cambui;Avenida Doutor Moraes Salles;Jardim Guarani;Campinas;SP;Sudeste;13100-201;1.185.977;-22.9060289;-47.0461989;2662;9502;08/10/2025
petz;petz campinas norte sul;Avenida José de Souza Campos;Nova Campinas;Campinas;SP;Sudeste;13092-123;1.185.977;-22.9040083;-47.0400589;2662;9502;08/10/2025
petz;petz campo grande;Avenida Afonso Pena;Chácara Cachoeira;Campo Grande;MS;Centro-Oeste;79040-010;954.537;-20.4643395;-54.579342;2169;2704;08/10/2025
petz;petz campo grande rio;Rua João Barbosa de Morais;Campo Grande;Rio de Janeiro;RJ;Sudeste;23040-125;6.729.894;-22.9230245;-43.5495864;2490;4557;08/10/2025
petz;petz canoas;Avenida Doutor Sezefredo Azambuja Vieira;Marechal Rondon;Canoas;RS;Sul;92020-020;359.554;-29.9175499937;-51.184519194;2608;4606;08/10/2025
petz;petz caraguatatuba;Rua Vereador Antônio Cruz Arouca;Indaiá;Caraguatatuba;SP;Sudeste;11665-100;141.084;-23.6267599;-45.4234501;2662;10500;08/10/2025
petz;petz carapicuiba;Avenida Inocêncio Seráfico;Vila Silva Ribeiro;Carapicuíba;SP;Sudeste;06380-021;398.462;-23.5378500086;-46.836;2662;10609;08/10/2025
petz;petz carlos berta;Rua Antônio Carlos Berta;Jardim Europa;Porto Alegre;RS;Sul;91340-020;1.389.322;-30.033;-51.279379889;2608;14902;08/10/2025
petz;petz carlos luz;Avenida Presidente Carlos Luz;Caiçaras;Belo Horizonte;MG;Sudeste;31230-010;2.416.339;-19.9012987;-43.9667394;2001;6200;08/10/2025
petz;petz carrefour anchieta;Via Anchieta, 3398;Vila Vermelha;São Paulo;SP;Sudeste;04246-900;11.895.578;-23.4902199938;-46.5729713249;2662;50308;08/10/2025
petz;petz carrefour imigrantes;Rua Alfredo de Salles Oliveira Netto;Vila do Bosque;São Paulo;SP;Sudeste;04147-020;11.895.578;-23.3060799704;-46.636;2662;50308;08/10/2025
petz;petz carrefour manilha;Rua Oliveira Botelho;Neves (Neves);São Gonçalo;RJ;Sudeste;24425-005;960.652;-22.8544152;-43.0977581;2490;4904;08/10/2025
petz;petz carrefour ribeirao shopping;Avenida Coronel Fernando Ferreira Leite;Jardim Califórnia;Ribeirão Preto;SP;Sudeste;14026-020;728.400;-21.2041684;-47.8255301;2662;43402;08/10/2025
petz;petz carrefour sao caetano;Avenida do Estado;Prosperidade;São Caetano do Sul;SP;Sudeste;09550-400;172.109;-23.6198499977;-46.5544381091;2662;48807;08/10/2025
petz;petz carrefour tiete;Avenida Morvan Dias de Figueiredo 3177;Vila Guilherme;São Paulo;SP;Sudeste;02063-902;11.895.578;-23.548;-46.6583840199;2662;50308;08/10/2025
petz;petz cascavel;Avenida Brasil;Centro;Cascavel;PR;Sul;85812-000;364.104;-24.956;-53.4629414822;2482;4808;08/10/2025
petz;petz castelo;av. pres. tancredo neves, 3005;paqueta;belo horizonte;MG;Sudeste;30840-535;2.416.339;;;2001;6200;08/10/2025
petz;petz catuai londrina;Rodovia Mabio Gonçalves Palhano;Gleba Fazenda Palhano;Londrina;PR;Sul;86055-585;577.318;-23.31;-51.1395782472;2482;13700;08/10/2025
petz;petz cavalhada;Avenida Eduardo Prado;Cavalhada;Porto Alegre;RS;Sul;91751-000;1.389.322;-30.033;-51.1583731786;2608;14902;08/10/2025
petz;petz caxias do sul;Avenida Ruben Bento Alves;Cinqüentenário;Caxias do Sul;RS;Sul;95012-393;479.256;-29.1745107;-51.207829;2608;5108;08/10/2025
petz;petz ceilandia;Quadra Q 1;Setor de Desenvolvimento Econômico (Taguatinga);Brasília;DF;Centro-Oeste;72145-100;2.982.818;-15.8096826;-48.0897558;3444;108;08/10/2025
petz;petz center minas;Avenida Pastor Anselmo Silvestre;Dom Joaquim;Belo Horizonte;MG;Sudeste;31170-678;2.416.339;-19.8790939;-43.9177407;2001;6200;08/10/2025
petz;petz center shopping uberlandia;Avenida João Naves de Ávila;Tibery;Uberlândia;MG;Sudeste;38405-140;754.954;-18.9011105;-48.2511641;2001;70206;08/10/2025
petz;petz cerro cora;Rua Cerro Corá;Vila Romana;São Paulo;SP;Sudeste;05061-300;11.895.578;-23.1801699588;-47.037243297;2662;50308;08/10/2025
petz;petz chapeco;Avenida Fernando Machado - D;Centro;Chapecó;SC;Sul;89802-111;275.959;-27.0947399993;-52.6194153421;2601;4202;08/10/2025
petz;petz cidade jardim;Avenida dos Tajurás;Cidade Jardim;São Paulo;SP;Sudeste;05670-000;11.895.578;-23.1187899568;-46.1678010127;2662;50308;08/10/2025
petz;petz congonhas;Avenida Moreira Guimarães;Indianópolis;São Paulo;SP;Sudeste;04074-030;11.895.578;-23.7813700242;-46.3814309126;2662;50308;08/10/2025
petz;petz contagem;Avenida Babita Camargos;Cidade Industrial;Contagem;MG;Sudeste;32210-180;649.975;-19.9511138;-44.0258233;2001;18601;08/10/2025
petz;petz contagem joao cesar;Avenida João César de Oliveira;Beatriz;Contagem;MG;Sudeste;32040-000;649.975;-19.9249966;-44.0609614;2001;18601;08/10/2025
petz;petz continente;Rua Martinho Boschetti;Picadas do Sul;São José;SC;Sul;88106-110;289.949;-27.6186000056;-48.628;2601;16602;08/10/2025
petz;petz copacabana;Avenida Nossa Senhora de Copacabana;Copacabana;Rio de Janeiro;RJ;Sudeste;22070-012;6.729.894;-22.9697777;-43.1868592;2490;4557;08/10/2025
petz;petz cotia;Rodovia Raposo Tavares;Lageadinho;Cotia;SP;Sudeste;06709-015;287.004;-23.5966199947;-46.9270538309;2662;13009;08/10/2025
petz;petz criciuma;Avenida Centenário;Centro;Criciúma;SC;Sul;88801-001;225.281;-28.6803626913;-49.3671297486;2601;4608;08/10/2025
petz;petz cristiano machado;Rua José Vieira Muniz;Floramar;Belo Horizonte;MG;Sudeste;31742-005;2.416.339;-19.8307058;-43.9388814;2001;6200;08/10/2025
