empresa;nome;logradouro;bairro;cidade;estado;cep;latitude;longitude;data_extracao
petz;Petz Abelardo Bueno;Avenida Embaixador Abelardo Bueno;Barra da Tijuca;Rio de Janeiro;RJ;22775-040;-229.727.518.094;-433.884.886.319;07/10/2025
petz;Petz Aclimação;Rua Muniz de Sousa;Aclimação;São Paulo;SP;01534-000;-235.696.900.041;-46.636;07/10/2025
petz;Petz Afonso Pena;Avenida Bandeirantes;Amambaí;Campo Grande;MS;79005-671;-204.697.105;-546.201.211;07/10/2025
petz;Petz Agamenon;Avenida Governador Agamenon Magalhães;Boa Vista;Recife;PE;50050-290;-80.559.795;-348.953.473;07/10/2025
petz;Petz Águas Claras;Avenida Sibipiruna;Sul (Águas Claras);Brasília;DF;71928-720;-15.885.750.017;-480.398.915.003;07/10/2025
petz;Petz Alameda Santos;Alameda Santos;Cerqueira César;São Paulo;SP;01419-001;-235.326.099.937;-46.636;07/10/2025
petz;Petz Aldeota;Avenida Barão de Studart;Aldeota;Fortaleza;CE;60120-001;-37.357.094;-385.069.693;07/10/2025
petz;Petz Alphaville;Avenida Alphaville;Dezoito do Forte Empresarial/Alphaville.;Barueri;SP;06472-010;-235.243.200.024;-468.905.258.909;07/10/2025
petz;Petz Alto da Boa Vista;Avenida Adolfo Pinheiro;Santo Amaro;São Paulo;SP;04734-004;-238.617.400.321;-462.937.601.861;07/10/2025
petz;Petz Americana;Avenida Paulista;Vila Nossa Senhora de Fátima;Americana;SP;13478-580;-227.376.643;-473.178.178;07/10/2025
petz;Petz Ana Costa;Avenida Ana Costa;Gonzaga;Santos;SP;11060-001;-23.954.249.995;-46.334;07/10/2025
petz;Petz Anália Franco;Avenida Regente Feijó;Vila Regente Feijó;São Paulo;SP;03342-000;-237.020.800.204;-468.040.764.713;07/10/2025
petz;Petz Angélica;Avenida Angélica;Consolação;São Paulo;SP;01227-200;-235.556.500.053;-46.636;07/10/2025
petz;Petz Anhaia Mello;Avenida Professor Luiz Ignácio Anhaia Mello;Vila Graciosa;São Paulo;SP;03295-000;-236.981.200.203;-464.722.432.506;07/10/2025
petz;Petz Aracaju;Avenida Ministro Geraldo Barreto Sobral 215;Jardins;Aracaju;SE;49026-900;-109.438.929;-370.593.452;07/10/2025
petz;Petz Araçatuba;Avenida Brasília;Jardim Nova Yorque;Araçatuba;SP;16018-000;-212.028.539;-504.536.793;07/10/2025
petz;Petz Araraquara;Avenida Padre Francisco Sales Colturato;Centro;Araraquara;SP;14802-000;-217.848.272;-481.786.486;07/10/2025
petz;Petz Arujá;Rua Tomi Saburo Yamamoto;Jardim das Cerejeiras;Arujá;SP;07432-575;-233.950.099.976;-463.220.786.898;07/10/2025
petz;Petz Assaí Anchieta;Rua Garcia Lorca;Paulicéia;São Bernardo do Campo;SP;09695-000;-236.995.800.017;-465.710.936.695;07/10/2025
petz;Petz Assaí Colinas;Avenida Jorge Zarur;Vila Ema;São José dos Campos;SP;12243-081;-232.102.831;-458.969.547;07/10/2025
petz;Petz Assaí Maracanã;Rua José Higino;Tijuca;Rio de Janeiro;RJ;20520-201;-229.325.728;-432.410.248;07/10/2025
petz;Petz Assaí Penha;Avenida São Miguel;Vila Marieta;São Paulo;SP;03620-000;-233.633.199.789;-468.374.561.407;07/10/2025
petz;Petz Assis Chateaubriand;Avenida Assis Chateaubriand;Setor Oeste;Goiânia;GO;74130-015;-166.848.554;-492.714.702;07/10/2025
petz;Petz Augusta;Rua Augusta;Consolação;São Paulo;SP;01305-000;-235.367.499.961;-46.636;07/10/2025
petz;Petz Avenida das Américas Recreio;Rua César Lattes;Barra da Tijuca;Rio de Janeiro;RJ;22793-329;-230.023.912;-434.245.654;07/10/2025
petz;Petz Avenida do Contorno;Avenida do Contorno;Santa Efigênia;Belo Horizonte;MG;30110-017;-199.139.617;-439.323.353;07/10/2025
petz;Petz Avenida Dos Estados;Avenida dos Estados;Tamanduateí 8;Santo André;SP;09270-270;-23.694.960.006;-465.041.977.288;07/10/2025
petz;Petz Avenida Goiás;Avenida Goiás;Santo Antônio;São Caetano do Sul;SP;09521-310;-23.623;-465.496.247.537;07/10/2025
petz;Petz Avenida Interlagos;Avenida Interlagos;Jardim Marajoara;São Paulo;SP;04660-002;-238.534.600.338;-463.027.923.299;07/10/2025
petz;Petz Avenida Milão;Avenida Milão;Jardim Europa;Goiânia;GO;74325-030;-167.092.282;-49.313.446;07/10/2025
petz;Petz Balneário Camboriú;Avenida do Estado Dalmo Vieira;Estados;Balneário Camboriú;SC;88339-060;-269.737.199.957;-48.635;07/10/2025
petz;Petz Bandeirantes;Avenida dos Bandeirantes 2040;Vila Olímpia;São Paulo;SP;04553-902;-236.192.800.094;-467.137.550.031;07/10/2025
petz;Petz Bangu Shopping;Rua Fonseca;Bangu;Rio de Janeiro;RJ;21820-005;-228.819.709;-43.465.515;07/10/2025
petz;Petz Barra Américas;Avenida das Américas;Barra da Tijuca;Rio de Janeiro;RJ;22793-080;-230.141.759;-434.664.789;07/10/2025
petz;Petz Barreiro;Avenida Sinfrônio Brochado;Barreiro;Belo Horizonte;MG;30640-000;-199.768.558;-440.195.832;07/10/2025
petz;Petz Bauru;Rua Rubens Pagani;Jardim Estoril IV;Bauru;SP;17016-210;-22.314.459;-490.586.951;07/10/2025
petz;Petz Belém;Avenida Nazaré;Nazaré;Belém;PA;66035-445;-1.454.061;-484.812.248;07/10/2025
petz;Petz Belford Roxo;Avenida Prefeito Jorge Júlio Costa dos Santos;Centro;Belford Roxo;RJ;26130-010;-227.645.391;-433.996.264;07/10/2025
petz;Petz Bento Gonçalves;R. Fortaleza, 362;Botafogo;Bento Gonçalves;RS;invalido;-2.917.812;-515.117.056;07/10/2025
petz;Petz BestCenter Jacareí;Rua Barão de Jacareí;Centro;Jacareí;SP;12308-000;-232.987.827;-459.662.542;07/10/2025
petz;Petz Betim;Avenida Juiz Marco Túlio Isaac;Jardim das Alterosas 1ª Seção;Betim;MG;32671-072;-199.673.078;-442.011.904;07/10/2025
petz;Petz Blumenau;Rua São Paulo;Itoupava Seca;Blumenau;SC;89030-001;-26.919;-490.579.250.549;07/10/2025
petz;Petz Boa Viagem;Avenida Boa Viagem;Boa Viagem;Recife;PE;51020-000;-81.099.616;-348.891.379;07/10/2025
petz;Petz Bosque Maia;Avenida Paulo Faccini;Macedo;Guarulhos;SP;07111-000;-234.836.100.077;-46.533;07/10/2025
petz;Petz Botafogo;Rua General Polidoro;Botafogo;Rio de Janeiro;RJ;22280-004;-229.511.149;-431.809.269;07/10/2025
petz;Petz Botucatu;Avenida Doutor Vital Brasil;Vila São Lúcio;Botucatu;SP;18603-193;-228.841.808;-484.441.654;07/10/2025
petz;Petz Brasília Asa Norte;Setor STN;Asa Norte;Brasília;DF;70770-100;-157.333.775;-478.970.566;07/10/2025
petz;Petz Brasília Epia;Setor de Postos e Motéis Sul I;Setor de Postos e Motéis Sul (Núcleo Bandeirante);Brasília;DF;71738-010;-158.711.088;-479.709.785;07/10/2025
petz;Petz Brasília Jardim Botânico;Quadra 1 Lote E;Setor Habitacional Jardim Botânico;Brasília;DF;71681-025;-159.064.363;-478.624.914;07/10/2025
petz;Petz Brasília SIA;Trecho SIA Trecho 17 Rua 03;Zona Industrial (Guará);Brasília;DF;71200-207;-157.786.295;-479.408.608;07/10/2025
petz;Petz Brasília W3 Norte;Quadra EQS 414/415;Asa Sul;Brasília;DF;70297-400;-157.906.787.664;-478.930.069.733;07/10/2025
petz;Petz Brusque;Rua Gustavo Schlosser;Centro II;Brusque;SC;88353-020;-270.929.599.984;-489.123.385.317;07/10/2025
