empresa;nome;logradouro;bairro;cidade;estado;regiao;cep;populacao;latitude;longitude;renda_domiciliar_per_capita;cidade_cod_ibge;data_extracao
petz;Petz Abelardo Bueno;Av. Embaixador Abelardo Bueno, 3140;Barra da Tijuca;Rio de Janeiro;RJ;Sudeste;22775-040;6729894.0;;;2490.0;3300100.0;08/10/2025
petz;Petz Aclimação;Rua Muniz de Sousa, 450;Aclimação;São Paulo;SP;Sudeste;01534-000;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Afonso Pena;Av. Afonso Pena, 1022;Amambai;Campo Grande;MS;Centro-Oeste;79005-671;954537.0;;;2169.0;5000203.0;08/10/2025
petz;Petz Agamenon;Av. Gov. Agamenon Magalhães, 3855;Santo Amaro;Recife;PE;Nordeste;50050-290;1587707.0;;;1453.0;2600054.0;08/10/2025
petz;Petz Águas Claras;Av. Sibipiruna, 4;Águas Claras;Brasília;DF;Centro-Oeste;71928-720;2982818.0;;;3444.0;5300108.0;08/10/2025
petz;Petz Alameda Santos;Alameda Santos, 637;Cerqueira César;São Paulo;SP;Sudeste;01419-001;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Aldeota;Av. Barão de Studart, 999;Aldeota;Fortaleza;CE;Nordeste;60120-001;2574412.0;;;1225.0;2300101.0;08/10/2025
petz;Petz Alphaville;Av. Alphaville, 580;Alphaville;Barueri;SP;Sudeste;06472-010;330339.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Alto da Boa Vista;Av. Adolfo Pinheiro, 1600;Santo Amaro;São Paulo;SP;Sudeste;04734-004;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Americana;Av. Paulista, 985;Vila Nossa Sra. de Fatima;Americana;SP;Sudeste;13478-580;246655.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Ana Costa;Avenida Ana Costa, 215;Gonzaga;Santos;SP;Sudeste;11060-001;429567.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Anália Franco;Av. Regente Feijó, 677;Vila Regente Feijó;São Paulo;SP;Sudeste;03342-000;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Angélica;Av. Angélica, 2011;Higienópolis;São Paulo;SP;Sudeste;01227-200;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Anhaia Mello;"Av. Prof. Luiz Ignacio Anhaia Mello, 5657
                                             - Junto ao Roldao";Vila Graciosa;São Paulo;SP;Sudeste;03295-000;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Aracaju;Av. Ministro Geraldo Barreto Sobral, 140;Jardins;Aracaju;SE;Nordeste;49026-900;628849.0;;;1473.0;2800100.0;08/10/2025
petz;Petz Araçatuba;Av. Brasília, 2737;Vila Sao Paulo;Araçatuba;SP;Sudeste;16018-000;207775.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Araraquara;Av.Padre Francisco Salles Culturato, 1272;Centro;Araraquara;SP;Sudeste;14802-000;252318.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Arujá;"Estrada de Santa Isabel, 1278
                                             - Parque Nossa Sra. do Carmo";Brasil;Arujá;SP;Sudeste;07432-575;89943.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Assaí Anchieta;Rua Garcia Lorca, 301;Paulicéia;São Bernardo do Campo;SP;Sudeste;09695-000;840499.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Assaí Colinas;Av. Jorge Zarur, 100;Jardim Apolo;São José dos Campos;SP;Sudeste;12243-081;724756.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Assaí Maracanã;"Rua José Higino, 115
                                             - Dentro do Assai Maracana";Maracanã;Rio de Janeiro;RJ;Sudeste;20520-201;6729894.0;;;2490.0;3300100.0;08/10/2025
petz;Petz Assaí Penha;Av. São Miguel, 962;Penha de França;São Paulo;SP;Sudeste;03620-000;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Assis Chateaubriand;Av. Assis Chateaubriand, 17;St. Oeste;Goiânia;GO;Centro-Oeste;74130-015;1494599.0;;;2098.0;5200050.0;08/10/2025
petz;Petz Augusta;Rua Augusta , 215;Bela Vista;São Paulo;SP;Sudeste;01305-000;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Avenida das Américas Recreio;Avenida das Américas, 12700;Barra da Tijuca;Rio de Janeiro;RJ;Sudeste;22793-329;6729894.0;;;2490.0;3300100.0;08/10/2025
petz;Petz Avenida do Contorno;Av. do Contorno, 2171;Santa Efigênia;Belo Horizonte;MG;Sudeste;30110-017;2416339.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Avenida Dos Estados;Av. dos Estados, 6973;Parque Jaçatuba;Santo André;SP;Sudeste;09270-270;778711.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Avenida Goiás;Avenida Goiás, 889;Santo Antônio;São Caetano do Sul;SP;Sudeste;09521-310;172109.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Avenida Interlagos;Av. Interlagos, 2000;Jardim Marajoara;São Paulo;SP;Sudeste;04660-002;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Avenida Milão;Av. Milão, 531;Jardim Europa;Goiânia;GO;Centro-Oeste;74325-030;1494599.0;;;2098.0;5200050.0;08/10/2025
petz;Petz Balneário Camboriú;Av. do Estado Dalmo Vieira, 4888;Estados;Balneário Camboriú;SC;Sul;88339-060;148758.0;;;2601.0;4200051.0;08/10/2025
petz;Petz Bandeirantes;Av. dos Bandeirantes, 2040;Vila Olímpia;São Paulo;SP;Sudeste;04553-902;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Bangu Shopping;"Rua Fonseca, 240
                                             - Area Ext, proximo a Portaria 2";Bangu;Rio de Janeiro;RJ;Sudeste;21820-005;6729894.0;;;2490.0;3300100.0;08/10/2025
