cidade;estado;populacao;cidade_normalizada;cidade_cod_ibge;cidade_regiao;renda_domiciliar_per_capita
São Paulo ;SP;11895578.0;Sao Paulo ;3500105.0;Sudeste;2662.0
Rio de Janeiro ;RJ;6729894.0;Rio de Janeiro ;3300100.0;Sudeste;2490.0
Brasília ;DF;2982818.0;Brasilia ;5300108.0;Centro-Oeste;3444.0
Fortaleza ;CE;2574412.0;Fortaleza ;2300101.0;Nordeste;1225.0
Salvador ;BA;2568928.0;Salvador ;2900108.0;Nordeste;1366.0
Belo Horizonte ;MG;2416339.0;Belo Horizonte ;3100104.0;Sudeste;2001.0
Manaus ;AM;2279686.0;Manaus ;1300029.0;Norte;1238.0
Curitiba ;PR;1829225.0;Curitiba ;4100103.0;Sul;2482.0
Recife ;PE;1587707.0;Recife ;2600054.0;Nordeste;1453.0
Goiânia ;GO;1494599.0;Goiania ;5200050.0;Centro-Oeste;2098.0
Belém ;PA;1398531.0;Belem ;1500107.0;Norte;1344.0
Porto Alegre ;RS;1389322.0;Porto Alegre ;4300034.0;Sul;2608.0
Guarulhos ;SP;1345364.0;Guarulhos ;3500105.0;Sudeste;2662.0
Campinas ;SP;1185977.0;Campinas ;3500105.0;Sudeste;2662.0
São Luís ;MA;1088057.0;Sao Luis ;2100055.0;Nordeste;1077.0
Maceió ;AL;994464.0;Maceio ;2700102.0;Nordeste;1331.0
São Gonçalo ;RJ;960652.0;Sao Goncalo ;3300100.0;Sudeste;2490.0
Campo Grande ;MS;954537.0;Campo Grande ;5000203.0;Centro-Oeste;2169.0
Teresina ;PI;902644.0;Teresina ;2200053.0;Nordeste;1350.0
João Pessoa ;PB;888679.0;Joao Pessoa ;2500106.0;Nordeste;1401.0
Duque de Caxias ;RJ;866347.0;Duque de Caxias ;3300100.0;Sudeste;2490.0
Nova Iguaçu ;RJ;843046.0;Nova Iguacu ;3300100.0;Sudeste;2490.0
São Bernardo do Campo ;SP;840499.0;Sao Bernardo do Campo ;3500105.0;Sudeste;2662.0
Natal ;RN;785368.0;Natal ;2400109.0;Nordeste;1616.0
Santo André ;SP;778711.0;Santo Andre ;3500105.0;Sudeste;2662.0
Sorocaba ;SP;757459.0;Sorocaba ;3500105.0;Sudeste;2662.0
Osasco ;SP;756952.0;Osasco ;3500105.0;Sudeste;2662.0
Uberlândia ;MG;754954.0;Uberlandia ;3100104.0;Sudeste;2001.0
Ribeirão Preto ;SP;728400.0;Ribeirao Preto ;3500105.0;Sudeste;2662.0
São José dos Campos ;SP;724756.0;Sao Jose dos Campos ;3500105.0;Sudeste;2662.0
Jaboatão dos Guararapes ;PE;683285.0;Jaboatao dos Guararapes ;2600054.0;Nordeste;1453.0
Cuiabá ;MT;682932.0;Cuiaba ;5100102.0;Centro-Oeste;2276.0
Feira de Santana ;BA;657948.0;Feira de Santana ;2900108.0;Nordeste;1366.0
Joinville ;SC;654888.0;Joinville ;4200051.0;Sul;2601.0
Contagem ;MG;649975.0;Contagem ;3100104.0;Sudeste;2001.0
Aracaju ;SE;628849.0;Aracaju ;2800100.0;Nordeste;1473.0
Londrina ;PR;577318.0;Londrina ;4100103.0;Sul;2482.0
Florianópolis ;SC;576361.0;Florianopolis ;4200051.0;Sul;2601.0
Serra ;ES;572274.0;Serra ;3200102.0;Sudeste;2111.0
Juiz de Fora ;MG;565764.0;Juiz de Fora ;3100104.0;Sudeste;2001.0
Aparecida de Goiânia ;GO;550925.0;Aparecida de Goiania ;5200050.0;Centro-Oeste;2098.0
Campos dos Goytacazes ;RJ;519011.0;Campos dos Goytacazes ;3300100.0;Sudeste;2490.0
Belford Roxo ;RJ;518263.0;Belford Roxo ;3300100.0;Sudeste;2490.0
Niterói ;RJ;516720.0;Niteroi ;3300100.0;Sudeste;2490.0
